Crop groups,Crops,Selections,Hybrids,Mutants,Others,Total
Vegetable Crops,Potato,2.0,48.0,1,10.333333333333334,50
Vegetable Crops,Cassava,4.0,7.0,1,2.0,13
Vegetable Crops,Sweet potato,23.0,7.0,1,10.333333333333334,30
Vegetable Crops,Greater yam,5.0,1.0,1,10.333333333333334,6
Vegetable Crops,White yam,3.0,16.846153846153847,1,10.333333333333334,3
Vegetable Crops,Lesser yam,3.0,16.846153846153847,1,10.333333333333334,3
Vegetable Crops,Elephant foot yam,6.0,1.0,1,10.333333333333334,7
Vegetable Crops,Colocasia (Taro),12.0,1.0,1,10.333333333333334,13
Vegetable Crops,Colocasia (Bunda),3.0,16.846153846153847,1,10.333333333333334,3
Vegetable Crops,Chinese potato,1.0,16.846153846153847,1,10.333333333333334,1
Vegetable Crops,Xanthosoma,1.0,16.846153846153847,1,10.333333333333334,1
Vegetable Crops,Coleus,1.0,16.846153846153847,1,10.333333333333334,1
Vegetable Crops,Yam bean,1.0,16.846153846153847,1,10.333333333333334,1
Vegetable Crops,Tomato,30.0,5.0,1,18.0,54
Vegetable Crops,Brinjal,38.0,10.0,1,11.0,59
Vegetable Crops,Chillies,28.0,1.0,1,7.0,37
Vegetable Crops,Sweet pepper,6.0,16.846153846153847,1,3.0,9
Vegetable Crops,Cauliflower,14.0,2.0,1,10.333333333333334,16
Vegetable Crops,Cabbage,2.0,16.846153846153847,1,6.0,8
Vegetable Crops,Broccoli,3.0,16.846153846153847,1,10.333333333333334,3
Vegetable Crops,Knol-khol,1.0,16.846153846153847,1,2.0,3
Vegetable Crops,Bitter gourd,9.0,1.0,1,1.0,12
Vegetable Crops,Pumpkin,9.0,16.846153846153847,1,1.0,10
Vegetable Crops,Squash,1.0,16.846153846153847,1,2.0,3
Vegetable Crops,Bottle gourd,12.0,5.0,1,1.0,18
Vegetable Crops,Musk melon,13.0,2.0,1,5.0,20
Vegetable Crops,Water melon,6.0,4.0,1,3.0,13
Vegetable Crops,Ash gourd,5.0,16.846153846153847,1,10.333333333333334,5
Vegetable Crops,Cucumber,8.0,16.846153846153847,1,2.0,10
Vegetable Crops,Long melon,2.0,16.846153846153847,1,10.333333333333334,2
Vegetable Crops,Round melon,1.0,16.846153846153847,1,10.333333333333334,1
Vegetable Crops,Pointed gourd,5.0,16.846153846153847,1,10.333333333333334,5
Vegetable Crops,Ivy gourd,5.0,16.846153846153847,1,10.333333333333334,5
Vegetable Crops,Ridge gourd,7.0,16.846153846153847,1,10.333333333333334,8
Vegetable Crops,Sponge gourd,8.0,16.846153846153847,1,10.333333333333334,8
Vegetable Crops,Round gourd,2.0,16.846153846153847,1,1.0,3
Vegetable Crops,Snake gourd,6.0,16.846153846153847,1,10.333333333333334,6
Vegetable Crops,Snap melon,3.0,16.846153846153847,1,10.333333333333334,3
Vegetable Crops,Onion,47.0,2.0,1,2.0,51
Vegetable Crops,Garlic,23.0,16.846153846153847,--,10.333333333333334,23
Vegetable Crops,Carrot,7.0,16.846153846153847,1,6.0,13
Vegetable Crops,French bean,6.0,16.846153846153847,1,10.0,17
Vegetable Crops,Cowpea (veg.),7.0,16.846153846153847,1,5.0,12
Vegetable Crops,Dolichos bean,4.0,16.846153846153847,1,3.0,7
Vegetable Crops,Garden pea,18.364485981308412,16.846153846153847,1,22.0,22
