States,2007-08,2008-09,2009-10,2010-11,2011-12
Andhra Pradesh,30,42,35.0,20.0,120.0
Assam,85,90,100.0,50.0,100.0
Bihar,10,4,,,
Chhattisgarh,7160,7198,4995.0,1985.0,3200.0
Gujarat,55,55,65.0,35.0,35.0
Jharkhand,6385,4000,6925.0,3980.0,10240.0
Madhya Pradesh,3755,2970,2390.0,685.0,1300.0
Maharashtra,1070,1050,520.0,435.0,950.0
Meghalaya,15,11,10.0,5.0,5.0
Odisha,435,425,400.0,230.0,350.0
Uttar Pradesh,500,500,200.0,175.0,200.0
West Bengal,1140,830,855.0,1435.0,1400.0
Total,20640,17175,16495.0,9035.0,17900.0
