PLAN-Subject Matter Division,PLAN-B.E. 2009-10,PLAN-Releases
Crop Science,3007.8,2232.46
Horticulture Science,932.2,699.15
Natural Resource Management ,1020.0,765.0
Agricultural Engineering,430.0,322.5
Animal Science,920.0,690.0
Fisheries,450.0,337.5
Agricultural Economics & Statistics,40.0,30.0
Agricultural Education* ,4433.7,3234.9
Agricultural Extension,3070.0,2302.5
Management Information System,300.0,225.0
Externally Aided Projects,2570.0,1999.16
National Fund for basic & strategic research (NAIP),200.0,30.0
Indo-US Knowledge Initiative (AKI) (Edu. Div.) ,50.0,37.5
Total PLAN,17423.7,12905.67
