Type of Crops,Crops,Unnamed: 2,1951-60,1961-70,1971-80,1981-90,1991-00,2001-09,unknown,Total
Vegetables Crops,Potato,,6.0,11.0,5.0,4.0,9.0,15.0,,50
Vegetables Crops,Cassava ,,,,5.0,1.0,5.0,2.0,,13
Vegetables Crops,Sweet potato,,,,2.0,3.0,8.0,17.0,,30
Vegetables Crops,Greater yam ,,,,,2.0,1.0,3.0,,6
Vegetables Crops,White yam,,,,,2.0,1.0,,,3
Vegetables Crops,Lesser yam ,,,,,1.0,1.0,1.0,,3
Vegetables Crops,Elephant foot yam ,,,,,,3.0,4.0,,7
Vegetables Crops,Colocasia (Taro) ,,,,,2.0,2.0,9.0,,13
Vegetables Crops,Colocasia (Bunda) ,,,,,,,3.0,,3
Vegetables Crops,Chinese potato ,,,,,,1.0,,,1
Vegetables Crops,Xanthosoma ,,,,,,1.0,,,1
Vegetables Crops,Coleus ,,,,,,1.0,,,1
Vegetables Crops,Yam bean ,,,,,,1.0,,,1
Vegetables Crops,Tomato ,,,,14.0,11.0,12.0,17.0,,54
Vegetables Crops,Brinjal ,,,,9.0,16.0,21.0,13.0,,59
Vegetables Crops,Chilies ,,,,3.0,12.0,7.0,15.0,,37
Vegetables Crops,Sweet peper ,,,,3.0,3.0,2.0,1.0,,9
Vegetables Crops,Cauliflower ,,,,7.0,3.0,3.0,3.0,,16
Vegetables Crops,Cabbage ,,,,5.0,1.0,2.0,,,8
Vegetables Crops,Broccoli ,,,,,,,3.0,,3
Vegetables Crops,Knoll-Khol ,,,,2.0,,,1.0,,3
Vegetables Crops,Bitter gourd ,,,,2.0,4.0,3.0,3.0,,12
Vegetables Crops,Pumpkin ,,,,1.0,3.0,,6.0,,10
Vegetables Crops,Squash ,,,,1.0,2.0,,,,3
Vegetables Crops,Bottle gourd ,,,,1.0,4.0,2.0,11.0,,18
Vegetables Crops,Musk melon ,,,,5.0,5.0,5.0,5.0,,20
Vegetables Crops,Water melon ,,,,4.0,2.0,2.0,5.0,,13
Vegetables Crops,Ash gourd ,,,,,1.0,,1.0,,2
Vegetables Crops,Cucumber ,,,,2.0,2.0,,6.0,,10
Vegetables Crops,Long melon ,,,,,,1.0,1.0,,2
Vegetables Crops,Round melon ,,,,,,,,1.0,1
Vegetables Crops,Pointed gourd ,,,,,,2.0,3.0,,5
Vegetables Crops,Ivy gourd ,,,,,,,5.0,,5
Vegetables Crops,Ridge gourd ,,,,1.0,2.0,,5.0,,8
Vegetables Crops,Sponge gourd ,,,,1.0,1.0,1.0,5.0,,8
Vegetables Crops,Round gourd ,,,,1.0,1.0,,1.0,,3
Vegetables Crops,Snake gourd ,,,,1.0,2.0,1.0,2.0,,6
Vegetables Crops,Snap melon ,,,,,,2.0,1.0,,3
Vegetables Crops,Onion  ,,,,6.0,6.0,8.0,8.0,23.0,51
Vegetables Crops,Garlic ,,,,,4.0,3.0,2.0,14.0,23
Vegetables Crops,Carrot ,,,,1.0,2.0,2.0,1.0,6.0,12
Vegetables Crops,Freanch bean,,,,,4.0,3.0,4.0,6.0,17
Vegetables Crops,Cowpea (veg.),,,,,2.0,3.0,5.0,2.0,12
