Particulars,Major Head,2010-2011 Budget Plan,2010-2011 Budget Non-Plan,2010-2011 Budget Total,2010-2011 Revised Plan,2010-2011 Revised Non-Plan,2010-2011 Revised Total,2011-2012 Budget Plan,2011-2012 Budget Non-Plan,2011-2012 Budget Total
"The Gross provision for demand No.2- DARE, excluding recoveries - Revenue",NA,2307.5,1518.05,3825.55,2307.5,2865,5172.5,2808.54,2157.6,4966.14
"The Gross provision for demand No.2- DARE, excluding recoveries - Capital",NA,0,0,0,0,0,0,0,0,0
"The Gross provision for demand No.2- DARE, excluding recoveries - Total",NA,2307.5,1518.05,3825.55,2307.5,2865,5172.5,2808.54,2157.6,4966.14
Recoveries -  Less Amount met from social and infrastructure development fund,2415,-7.5,0,-7.5,-7.5,0,-7.5,-8.54,0,-8.54
Recoveries - Total,NA,-7.5,0,-7.5,-7.5,0,-7.5,-8.54,0,-8.54
Group/Sub Group/Sub Sub Group/Scheme/Sub Scheme/Programme/Sub Programme - Revenue,NA,2300,1518.05,3818.05,2300,2865,5165,2800,2157.6,4957.6
Group/Sub Group/Sub Sub Group/Scheme/Sub Scheme/Programme/Sub Programme - Capital,NA,0,0,0,0,0,0,0,0,0
Group/Sub Group/Sub Sub Group/Scheme/Sub Scheme/Programme/Sub Programme - Total,NA,2300,1518.05,3818.05,2300,2865,5165,2800,2157.6,4957.6
Secretariat -Economic Service ,3451,0,3.05,3.05,0,2.98,2.98,0,3.37,3.37
"Agricultural Research and Education Payments to ICAR - Crop Husbandry -  Payments of net proceeds of cess under Agricultural Produce Cess Act, 1940",2415,0,3,3,0,1.5,1.5,0,1,1
Agricultural Research and Education Payments to ICAR - Crop Husbandry -  Other Programmes of Crop Husbandry - Crop Sciences,2415,354.2,363,717.2,361,519.47,880.47,444,563,1007
Agricultural Research and Education Payments to ICAR - Crop Husbandry -  Other Programmes of Crop Husbandry -  Horticulture,2415,116,162,278,119,211.03,330.03,174.2,233,407.2
Agricultural Research and Education Payments to ICAR - Crop Husbandry -  Other Programmes of Crop Husbandry -  Agricultural Extension,2415,350,1.5,351.5,353,2.36,355.36,353,4.5,357.5
Agricultural Research and Education Payments to ICAR - Crop Husbandry -  Other Programmes of Crop Husbandry -  Agricultural Extension - Agricultural Education,2415,437.5,12,449.5,441.5,1102.25,1543.75,480.54,255,735.54
Agricultural Research and Education Payments to ICAR - Crop Husbandry -  Other Programmes of Crop Husbandry -  Agricultural Extension -  Less amount met from social and infrastructure development fund,2415,-7.5,0,-7.5,-7.5,0,-7.5,-8.54,0,-8.54
Net,2415,430,12,442,434,1102.25,1536.25,472,255,727
Agricultural Research and Education Payments to ICAR - Crop Husbandry -  Other Programmes of Crop Husbandry -  Economic  Statistics and Management,2415,3,19,22,3,29.41,32.41,3,39,42
Agricultural Research and Education Payments to ICAR - Crop Husbandry -  Other Programmes of Crop Husbandry - Agricultural Engg.,2415,51,48,99,51.63,67.54,119.17,66.4,80,146.4
"Agricultural Research and Education Payments to ICAR - Crop Husbandry -  Other Programmes of Crop Husbandry -  ICAR Hq Admn., DIPA including       ASRB, IPR Management",2415,16.8,346,362.8,17.9,110.62,128.52,187,121.76,308.76
"Agricultural Research and Education Payments to ICAR - Crop Husbandry -  Other Programmes of Crop Husbandry - National Fund for Basic,  Strategic and Frontier Application Research in Agriculture",2415,0,0,0,0,0,0,20,0,20
Agricultural Research and Education Payments to ICAR - Crop Husbandry -  Other Programmes of Crop Husbandry - National Agricultural Innovation Project/Externally Aided Project,2415,288.97,0,288.97,265,0,265,171,0,171
Total-Other Programmes of Crop Husbandry,NA,1609.97,951.5,2561.47,1604.53,2042.68,3647.21,1890.6,1296.26,3186.86
Total- Crop Husbandry,NA,1609.97,954.5,2564.47,1604.53,2044.18,3648.71,1890.6,1297.26,3187.86
Soil and Water Conservation - Soil and Water Conservation Research Institute,2415,5.03,20.13,25.16,5.03,31,36.03,6,31,37
Soil and Water Conservation - Other NRM Institutes. Including Agro- Forestry Research,2415,103,172,275,106,220.05,326.05,174.1,227.5,401.6
Soil and Water Conservation - Climate Resilient Agriculture Initiative ,2415,180,0,180,180,0,180,130,0,130
Total-Soil &Water Conservation,NA,288.03,192.13,480.16,291.03,251.05,542.08,310.1,258.5,568.6
Animal Husbandry,2415,96,250,346,100.68,370.18,470.86,145.3,388,533.3
Fisheries,2415,55,114,169,65,192.31,257.31,65,206,271
National Institute for Biotic Stress Management,2415,0,0,0,0,0,0,20,0,20
Indian Institute of Agricultural Biotechnology,2415,0,0,0,0,0,0,30,0,30
Total-Payments to ICAR,NA,2049,1510.63,3559.63,2061.24,2857.72,4918.96,2461,2149.76,4610.76
"Contribution to Commonwealth Agricultural Bureau, Consultative Group on International Agricultural Research and Association of Asia Pacific Agricultural Research Institutions",2415,21,4.37,25.37,8.76,4.3,13.06,1,4.47,5.47
"Central Agricultural University, Bundelkhand",2415,0,0,0,0,0,0,30,0,30
Lump-sum provision for projects/ schemes for the benefit of North-Eastern Region and Sikkim,2552,230,0,230,230,0,230,308,0,308
Total-Agricultural Research and Education,NA,2300,1518.05,3818.05,2300,2865,5165,2800,2157.6,4957.6
Actual Recoveries,2415,0,0,0,0,0,0,0,0,0
Grand Total,NA,2300,1518.05,3818.05,2300,2865,5165,2800,2157.6,4957.6
Major Head-wise Totals,2415,2070,1515,3585,2070,2862.02,4932.02,2492,2154.23,4646.23
Major Head-wise Totals,2552,230,0,230,230,0,230,308,0,308
Major Head-wise Totals,3451,0,3.05,3.05,0,2.98,2.98,0,3.37,3.37
Major Head-wise Totals - Total,NA,2300,1518.05,3818.05,2300,2865,5165,2800,2157.6,4957.6
