Horticulture crops,Varieties,Number,Varieties released during 2012-13
Temperate Fruits and Vegetables,Apple,1,CITH-Lodh-Apple-1
Temperate Fruits and Vegetables,Walnut,5,"CITH-Walnut -6, CITH-Walnut -7, CITH-Walnut -8, CITH-Walnut -9, CITH-Walnut-10"
Temperate Fruits and Vegetables,Cherry,2,"CITH-Cherry-1, CITH-Cherry-2"
Temperate Fruits and Vegetables,Garlic,1,CITH-Garlic ( M)-1
Plantation crops,Coconut-,3,"Kalpa Jyothi, Kalpa Surya and Kalpa Haritha"
Vegetables,Peas,4,"Arka Priya, Arka Pramod, Arka Apoorva, Kashi Samridhi."
Vegetables,Tomato,1,Kashi Abhimaan (H)
Vegetables,Cowpea,1,Kashi Nidhi
Vegetables,Indian bean,1,Kashi Haritima
Vegetables,Okra,1,Kashi Kranti
Vegetables,Potato,2,"Kufri Gaurav, Kufri Garima"
Medicinal,Ashwaganda,1,Arka  Ashwagandha
Ornamental,Gladiolus,6,"Arka Amar,  Arka Kesar, Punjab Pink Elegance, Punjab Flame,  Punjab Glance, Punjab Lemon Delight"
Ornamental,Chrysanthemum,6,"Anmol, Royal Purple, Yellow Delight, Autumn Joy, Garden Beauty,   Winter Queen"
Ornamental,Tuberose,1,"Arka  Sugandhi, Phule  Rajani,"
Total,Total,36,
