CROPS,Indent 2006-07,Production 2006-07,Indent 2007-08,Production 2007-08,Indent 2008-09,Production 2008-09,Indent 2009-10,Production 2009-10,Indent 2010-11,Production 2010-11,Indent 2011-12,Production 2011-12
Wheat,13452,14863,21461,26204,23349,28983,32330,35049,29692,38469,28860,35745
Paddy,2076,3405,2491,3923,3028,4333,3880,5387,4604,6095,5772,6828
Sorghum,30,97,22,98,40,375,55,221,36,167,113,158
Maize,83,172,100,146,131,246,179,243,178,232,211,173
Barley,1339,1916,1811,2317,2081,3078,2496,3053,1778,2900,1842,1906
Pearl millet,20,16,16,40,17,36,8,8,10,28,15,32
Small millet,5,19,3,32,4,18,5,24,22,42,18,47
Total Cereal crops,17006,20489,25903,32759,28650,37068,38954,43985,36294,47814,36831,44889
Total Oilseed crops,21195,21767,22577,26037,26660,21852,34685,29417,33937,34015,41404,41446
Total Pulse crops,7348,9383,9948,11234,12268,13585,11700,13155,12944,15360,14303,16656
Total Forage crops,456,1043,931,1402,1543,1544,882,1145,627,1039,1627,1708
Total Fibre crops,72,231,172,190,55,115,42,110,52,71,55,85
TOTAL,46078,52913,59530,71623,69176,74162,86264,87812,83880,98419,94220,104784
