Crop group,Name of Crop,2001-2005,2006-2007,2008-2009,2010-11,2011-12
CEREAL CROPS,Wheat,44,26,22,11,10
CEREAL CROPS,Barley,12,5,4,4,2
CEREAL CROPS,Paddy,98,75,67,30,6
CEREAL CROPS,Maize ,48,23,23,7,6
CEREAL CROPS,Sorghum,16,8,7,2,NA
CEREAL CROPS,Pearl millet,14,11,11,8,4
CEREAL CROPS,Small millet,14,6,18,2,3
CEREAL CROPS,Sub-Total,246,154,152,64,31
PULSE CROPS,Chickpea,20,22,7,7,2
PULSE CROPS,Green gram  (Moong),12,7,9,3,1
PULSE CROPS,Black gram (Urdbean),4,5,7,5,2
PULSE CROPS,Cowpea,4,1,3,3,NA
PULSE CROPS,Pigeonpea,11,11,5,1,1
PULSE CROPS,Rajmash  (French bean),7,3,NA,1,NA
PULSE CROPS,Horse gram or Kulthi,1,2,NA,NA,1
PULSE CROPS,Ricebean/Indianbean,1,NA,NA,1,NA
PULSE CROPS,Lentil,2,5,6,2,3
PULSE CROPS,Fieldpea,1,8,3,3,2
PULSE CROPS,Mothbean,2,2,NA,NA,NA
PULSE CROPS,Sub-Total,65,66,40,26,12
OILSEED CROPS,Groundnut,19,15,18,8,4
OILSEED CROPS,Linseed,6,3,3,4,2
OILSEED CROPS,Rapeseed-Mustard group ,18,12,16,7,1
OILSEED CROPS,Sunflower,9,3,3,1,NA
OILSEED CROPS,Sesamum,4,8,7,2,NA
OILSEED CROPS,Safflower,4,3,1,NA,NA
OILSEED CROPS,Soybean,10,10,8,2,1
OILSEED CROPS,Niger,4,NA,4,1,1
OILSEED CROPS,Castor,3,3,NA,2,1
OILSEED CROPS,Toria,NA,NA,1,NA,NA
OILSEED CROPS,Taramira,NA,NA,NA,2,NA
OILSEED CROPS,Babchi,NA,NA,NA,1,NA
OILSEED CROPS,Sub-Total,77,57,61,30,10
SUGAR CROPS,Sugar cane,16,8,8,5,2
SUGAR CROPS,Sub-Total,16,8,8,5,2
FIBER CROPS,Cotton,24,16,14,11,NA
FIBER CROPS,Jute ,5,NA,5,2,NA
FIBER CROPS,Sunhemp,2,NA,1,NA,NA
FIBER CROPS,Dhaincha,2,NA,NA,NA,NA
FIBER CROPS,Mesta (Roselle),NA,2,1,2,1
FIBER CROPS,Lucerne,NA,NA,1,NA,NA
FIBER CROPS,Sub-Total,33,18,22,15,1
FORAGE CROPS,Berseem,1,2,NA,NA,NA
FORAGE CROPS,Bajra,1,NA,3,NA,1
FORAGE CROPS,Sorghum,3,NA,NA,NA,3
FORAGE CROPS,Oat,2,2,NA,3,NA
FORAGE CROPS,Cowpea,2,3,1,1,NA
FORAGE CROPS,Red Clover,1,NA,NA,NA,NA
FORAGE CROPS,Cluster bean / Guar,3,2,1,4,NA
FORAGE CROPS,Horse gram,NA,NA,4,1,NA
FORAGE CROPS,Grasses,NA,NA,9,NA,NA
FORAGE CROPS,Hybrid Napier Grass,1,NA,1,1,NA
FORAGE CROPS,Fescue grass,1,NA,NA,NA,NA
FORAGE CROPS,Setaria grass,1,NA,NA,NA,NA
FORAGE CROPS,Guinea grass,1,NA,1,NA,NA
FORAGE CROPS,Anjan grass,2,1,NA,NA,NA
FORAGE CROPS,Tall fescue grass,NA,NA,NA,1,NA
FORAGE CROPS,Marvel grass,NA,NA,NA,1,NA
FORAGE CROPS,Sub-Total,19,10,20,12,4
UNDER UTILIZED CROPS,Grain Amarnaths,1,3,2,1,NA
UNDER UTILIZED CROPS,Job’s tear,NA,NA,1,NA,NA
UNDER UTILIZED CROPS,(Coix aquatica),NA,NA,NA,NA,NA
UNDER UTILIZED CROPS,Buck wheat ,NA,1,NA,NA,NA
UNDER UTILIZED CROPS,Sub-Total,1,4,3,1,NA
OTHERS,Jatropha,NA,1,NA,NA,NA
OTHERS,Sub-Total,NA,1,NA,NA,NA
COMMERCIAL CROPS,Tobacco,NA,NA,1,NA,NA
COMMERCIAL CROPS,Sub-Total,NA,NA,1,NA,NA
Grand Total,Grand Total,457,318,307,153,60
