Type of Crops,Crop,Variety,Sponsoring Authority,Season/ maturity duration in days,Recommended Zone
Cereals, Paddy,Punjab Basmati-2,"Punjab Agricultural University, Ludhiana",Medium 140,Punjab
Cereals, Paddy,Mugad  Siri-1253,"Agricultural Research Station, Mugad, UAS, Dharwad",Medium  135 -140,Irrigated & rainfed midland areas of northern Karnataka 
Cereals, Paddy,"CR Dhan 500,  (IET 20220)","Central Rice Research Institute, Cuttack",Late  158-163,Odisha and Uttar Pradesh under deep water condition
Cereals, Paddy,JGL 3844 (Jagtial Samba),"RARS, Jagtial, (AGRAU)",Medium Early 125-130,Andhra Pradesh
Cereals, Paddy,JGL 3828 (Manair Sona),"RARS, Jagtial, (AGRAU)",Medium 130-135,Andhra Pradesh
Cereals, Paddy,NDGR201  (IET 20048),"CRS, Ghaghraghat (NDUAT)",Medium Early 125-130,Semi-Deep water situations of Uttar Pradesh and Bihar
Cereals, Paddy,Narendra Sugandha Dhan (NDR 6093)  (IET 19768),"NDUAT, Faizabad",Medium Early 125-130,Uttar Pradesh
Cereals, Paddy,Narendra Usar Dhan 2009 (NDRK 50002) (IET 19667),"NDUAT, Faizabad",Medium 130-135,Saline/Alkaline areas of Uttar Pradesh
Cereals,Rice (Hybrid) ,CO 4  (IET 21449)  (TNRH 174) ,"Tamil Nadu Agricultural Univerity, Coimbatore",NA,"Tamil Nadu, Gujarat & Maharahtra under irrigated condition during Rabi season for Southern Zone & Kharif season for Western Zone"
Cereals,Rice (Hybrid) ,NK 5251 (IET 19738) (Hybrid),"Syngenta India Limited, Hyderabad",Medium Early 125-130,"Tamil Nadu, Karnataka, Andhra Pradesh, Maharashtra, Gujarat"
Cereals,Rice (Hybrid) ,US 382 (IET 20727) (Hybrid),"Seed Works International  Pvt. Ltd., Hyderabad",Medium Early 115-128 ,"Tripura, Madhya Pradesh and  Karnataka"
Cereals,Rice (Hybrid) ,Arize Tej (HRI 169) (IET21411) (Hybrid),"Bayer BioScience Pvt Ltd.,  Hyderabad.",Mid early 122 - 126 ,"Bihar, Chhattisgarh, Gujarat, Andhra Pradesh and Tamil Nadu under irrigated timely sown condition in Kharif season"
Cereals,Rice (Hybrid) ,PNPH 24 (IET 21406)  (Hybrid),"Prabhat Agri Biotech  Limited, Hyderabad",Mid early 97 - 100 ,"Bihar, West Bengal and Odisha under irrigated non submersible conditions"
Cereals,Rice (Hybrid) ,NPH 924-1 (IET 21255) (Hybrid),"Nuziveedu  Seeds Pvt.  Ltd., Hyderabad",Medium  120 - 128 ,West Bengal and Assam under irrigated areas where Boro rice crop is grown
Cereals,Rice (Hybrid) ,RH-1531 (Frontline Gold) (IET 21404) (Hybrid),"Dev Gen Seeds, Hyderabad",Medium Early 125-130,"Madhya Pradesh, Uttar Pradesh, Andhra Pradesh and Karnataka"
Cereals,Rice (Hybrid) ,JKRH 3333 (IET 20759) (Hybrid),"JK Seeds, Hyderabad",Medium 135-138 ,"West Bengal, Bihar, Chhattisgarh, Gujarat and Andhra Pradesh"
Cereals,Wheat,PBW 644,"Punjab Agricultural University, Ludhiana",Late  137-167,"Punjab, Haryana, Delhi, Rajasthan (excluding Kota & Udaipur divisions), Western Uttar Pradesh (except Jhansi Division), (Jammu & Kathua districts) Jammu & Kashmir Paonta Valley and Una district of Himachal Pradesh and Tarai region of Uttarakhand"
Cereals,Wheat,UAS-428 (Durum),"UAS, Dharwad",Medium  108,"Maharashtra, Karnataka, Andhra Pradesh, Goa, Plain of Tamil Nadu"
Cereals,Wheat,TL  2969  (Triticale),"Punjab Agricultural University, Ludhiana",152-187,"Punjab, Haryana, Delhi, Rajasthan (except Kota and Udaipur Division), Western U.P. (except Jhansi division), parts of J & K (Kathua district), parts of Himachal Pradesh (Una district and Poanta Valley) and Tarai Region of Uttrakhand"
Cereals,Wheat,Pusa Pachheti (HD 3059),"Indian Agriculural Research Institute, New Delhi",Late 121,"Punjab, Haryana, Delhi, Rajasthan (except Kota and Udaipur Division), Western U.P. (except Jhansi division), parts of J & K (Kathua district), parts of Himachal Pradesh (Una district and Poanta Valley) and Tarai Region of Uttrakhand"
