Food commodity,Water input per kg product,Productivity kg/m2,Nutritional water productivity Energy kcal/m3,Nutritional water productivity Protein g/m3,Nutritional water productivity Fat  g/m3,Nutritional water productivity Calcium mg/m3
Wheat,1159,0.863,2279,74,9,279
Rice,1408,0.71,1989,49,5,132
Maize,710,1.408,3856,77,17,63
Potato,105,9.524,5626,150,9,543
Pulses (Beans),2860,0.35,1188,76,4,473
Groundnut,2547,0.393,2382,11,206,296
Soybean oil,15240,0.66,547,0,62,0
Tomato,130,7.692,1416,65,11,200
Onion,147,6.826,2259,85,0,1673
Banana,499,2.004,432,11,0,29
Lemon,344,2.907,504,0,0,423
Beef,13500,0.074,102,10,7,3
Pork,4600,0.217,408,21,33,7
Poultry,4100,0.244,330,33,21,14
Egg,2700,0.37,519,41,36,166
Milk,790,1.266,659,40,38,1233
Butter,18000,0.056,404,1,39,11
