YEAR,JUN,JUL,AUG,SEP,JN-SP
1901,104.2,283.1,325.2,114.6,827.1
1902,63.3,333.3,228.4,212,837
1903,94.6,380.5,281.4,204.5,960.9
1904,184.4,265,212.8,156.6,818.9
1905,57.6,342.5,172.8,203.2,776.1
1906,215.7,354.2,232.5,203.7,1006.1
1907,148.3,262.9,405.5,76.3,892.9
1908,142.7,407.3,387.7,132.7,1070.4
1909,211.3,378,202.5,162.8,954.5
1910,242.3,252,323,225.6,1042.9
1911,209.6,160.6,271.8,172.5,814.5
1912,88.6,421.2,306.7,114.1,930.5
1913,247.3,354,229.1,103,933.5
1914,203.2,409.3,245,239.7,1097.1
1915,166.9,256.8,234.9,183.9,842.5
1916,241.1,265.6,360.8,214.3,1081.8
1917,234.2,307.4,343.7,286.4,1171.7
1918,202.1,155.6,247.8,84.7,690.2
1919,227.7,338.1,423.8,125.6,1115.1
1920,144.8,346.2,189.9,94.9,775.7
1921,185.7,316.1,257,242.8,1001.6
1922,180.9,353.1,182.3,242.8,959.1
1923,46.2,400.8,312.8,182.4,942.1
1924,77.2,307.7,282.3,214,881.2
1925,244.4,328,247.8,105.7,925.9
1926,52.2,323.4,456.2,284.2,1116.1
1927,177.6,448.3,266.2,129.4,1021.5
1928,157.8,377.7,222.9,152.8,911.3
1929,158.9,378.5,254.7,129.5,921.5
1930,176.2,373.5,203.6,194.1,947.5
1931,85.7,335.3,408.2,192.1,1021.4
1932,99.4,489.4,198.5,212.2,999.5
1933,220.6,328.1,358.3,276.1,1183.2
1934,214.1,306.4,376.1,243.2,1139.7
1935,133.3,448.1,196.5,202.5,980.4
1936,293.8,265.1,259.5,203.1,1021.5
1937,200.3,455.6,192.3,221.6,1069.8
1938,289.4,337.4,252.3,156.1,1035.2
1939,132.5,331.3,332.9,133.9,930.7
1940,206,400.8,331.2,94.5,1032.5
1941,144.1,313.7,220.9,118.8,797.4
1942,174.3,475.7,333.1,176.8,1159.8
1943,168,397.9,217.2,233.3,1016.4
1944,114.9,521.8,381.3,141.2,1159.1
1945,181.7,406.4,268.4,259.7,1116.2
1946,257.4,347.4,378.7,142.8,1126.4
1947,99,350.6,369.9,239.4,1059
1948,160.5,311.2,289.3,207.4,968.5
1949,129.7,326.9,256.1,297.9,1010.6
1950,94.8,445.9,214.9,202.9,958.5
1951,141.4,296.1,271.2,112.6,821.3
1952,158.1,363.7,257.5,130.7,910
1953,151.5,320.9,406.1,156.9,1035.4
1954,128.9,334.7,260.1,354.5,1078.3
1955,202.1,209.9,389,276.3,1077.4
1956,206.3,468.9,311.1,187.6,1173.8
1957,134.2,321.4,332.4,107,895
1958,120.1,400.4,323.9,253.8,1098.2
1959,155.4,454.3,324.9,299.2,1233.7
1960,181.1,323.4,312.3,131.3,948.1
1961,202.6,426.2,314.1,349.9,1292.8
1962,86.9,339,248.3,242.5,916.7
1963,151.1,288.5,373.5,186.6,999.7
1964,164.2,323.8,368.5,187.7,1044.1
1965,95.2,342.8,185.2,132.1,755.3
1966,161.7,316,173.5,141.8,792.9
1967,173.3,378.1,289.7,184.7,1025.8
1968,110.6,324.4,258.2,153,846.4
1969,115.1,403.6,271.8,214.6,1005.1
1970,255.7,281.6,413.7,230.1,1181.2
1971,254.4,296.9,278.9,155.4,985.6
1972,118.6,223.6,298.5,122.5,763.1
1973,98.1,406.6,371.3,226.7,1102.7
1974,91.9,243.2,281.3,103.5,719.8
1975,192.2,300.4,385.7,257.6,1136
1976,162.7,386.7,345.8,151.2,1046.4
1977,212.1,354.1,293.7,173.4,1033.2
1978,210.5,310.5,371.6,120.6,1013.2
1979,166.5,210.4,322.8,124.9,824.7
1980,296.5,293.7,321.8,153.3,1065.3
1981,153.3,313.8,306.3,212.8,986.2
1982,113,250.8,359.8,112.7,836.3
1983,151.1,311.5,372.9,296.3,1131.8
1984,159.1,266.5,367.8,104.1,897.5
1985,138,288,282.1,138.4,846.6
1986,231.1,293.1,247.5,77.6,849.3
1987,102.3,233.6,259.3,117.5,712.6
1988,168.8,406.9,269.6,215.7,1061
1989,212.9,278.7,309.3,136.8,937.7
1990,221.7,274.6,394.2,214.7,1105.2
1991,156,380.3,284.5,71.1,892
1992,127,296.8,361.5,164.8,950.1
1993,152.2,349.8,223,248.5,973.5
1994,269.2,458.7,366.3,213.2,1307.5
1995,91.7,363.4,229.6,156.8,841.5
1996,134.4,333.4,293.1,140.6,901.5
1997,176.4,319.7,338.4,155.4,989.9
1998,145.3,296,237.2,254.7,933.2
1999,195.3,268.4,228.8,250.2,942.8
2000,168.7,331.3,207.2,82.7,789.9
2001,258.4,365.8,268.2,74.1,966.4
2002,214.2,97.8,330.3,137.3,779.6
2003,166.5,379.4,320.5,232.7,1099
2004,177,248.4,362.3,112.5,900.3
2005,198.4,412,216.7,261.4,1088.4
2006,130.5,404.7,450.9,180.5,1166.7
2007,212.1,310,315.6,229.1,1066.7
2008,210.4,251.5,282.3,233,977.3
2009,68.2,407.6,195,134.1,804.9
2010,122,380,333.4,218,1053.4
2011,187.9,297.6,353.7,247.6,1086.8
2012,100.6,320.7,304.4,220,945.6
2013,274,422.8,295.9,184,1176.6
2014,63.3,361.8,253.8,202.9,881.7
2015,201.1,261.5,198.5,137.5,798.6
2016,138.7,383.4,319.7,198.4,1040.3
2017,175.1,359.6,232.3,156.4,923.4
2018,161,354.6,276.6,124.5,916.7
2019,117.3,351.4,428.2,368.2,1265.2
2020,219.5,249.5,495.5,158,1122.5
2021,196.5,297.7,186.6,327.3,1008.1
