Year,October: BOB,October: AS,October: LAND,October: TOTAL,November: BOB,November: AS,November: LAND,November: TOTAL,December: BOB,December: AS,December: LAND,December: TOTAL,October- December: BOB,October- December: AS,October- December: LAND,October- December: TOTAL
1891,0,0,0,0,1,1,1,3,0,0,0,0,1,1,1,3
1892,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2
1893,2,0,0,2,1,1,0,2,0,0,0,0,3,1,0,4
1894,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
1895,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
1896,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
1897,2,0,0,2,0,0,0,0,1,0,0,1,3,0,0,3
1898,1,0,0,1,1,0,0,1,0,0,0,0,2,0,0,2
1899,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1901,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2
1902,0,2,0,2,0,0,0,0,0,1,0,1,0,3,0,3
1903,2,0,0,2,1,0,0,1,0,0,0,0,3,0,0,3
1904,1,0,0,1,1,0,0,1,0,0,0,0,2,0,0,2
1905,1,1,0,2,0,0,0,0,1,0,0,1,2,1,0,3
1906,1,1,0,2,0,0,0,0,1,0,0,1,2,1,0,3
1907,1,0,0,1,1,1,0,2,0,0,0,0,2,1,0,3
1908,0,1,0,1,1,0,0,1,1,0,0,1,2,1,0,3
1909,2,0,0,2,0,0,0,0,1,0,0,1,3,0,0,3
1910,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2
1911,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
1912,1,1,0,2,0,0,1,1,1,0,0,1,2,1,1,4
1913,1,0,0,1,0,0,0,0,1,0,0,1,2,0,0,2
1914,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
1915,0,0,0,0,2,0,0,2,1,0,0,1,3,0,0,3
1916,2,0,0,2,2,0,0,2,0,0,0,0,4,0,0,4
1917,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
1918,0,0,0,0,2,0,0,2,1,0,0,1,3,0,0,3
1919,0,0,0,0,2,0,0,2,1,0,0,1,3,0,0,3
1920,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
1921,1,0,0,1,1,0,0,1,0,0,0,0,2,0,0,2
1922,0,0,0,0,3,0,0,3,1,0,0,1,4,0,0,4
1923,0,0,0,0,1,0,0,1,1,0,0,1,2,0,0,2
1924,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2
1925,1,0,0,1,2,0,0,2,0,0,0,0,3,0,0,3
1926,1,0,0,1,2,0,0,2,1,0,0,1,4,0,0,4
1927,1,0,0,1,1,1,0,2,0,0,0,0,2,1,0,3
1928,1,0,0,1,1,0,0,1,1,0,0,1,3,0,0,3
1929,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
1930,1,1,0,2,3,0,0,3,0,0,0,0,4,1,0,5
1931,2,0,0,2,0,0,0,0,1,0,0,1,3,0,0,3
1932,1,1,0,2,1,0,0,1,0,0,0,0,2,1,0,3
1933,1,0,0,1,1,0,0,1,1,0,0,1,3,0,0,3
1934,0,1,0,1,2,0,0,2,0,0,0,0,2,1,0,3
1935,2,0,0,2,1,0,0,1,0,0,0,0,3,0,0,3
1936,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1937,1,0,0,1,0,0,0,0,1,0,0,1,2,0,0,2
1938,1,0,0,1,2,1,0,3,0,0,0,0,3,1,0,4
1939,0,0,0,0,1,0,0,1,1,0,0,1,2,0,0,2
1940,1,1,0,2,1,1,0,2,0,0,0,0,2,2,0,4
1941,0,0,0,0,1,0,0,1,1,0,0,1,2,0,0,2
1942,2,0,0,2,1,0,0,1,0,0,0,0,3,0,0,3
1943,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3
1944,1,0,0,1,1,0,0,1,1,0,0,1,3,0,0,3
1945,1,0,0,1,0,0,0,0,1,0,0,1,2,0,0,2
1946,1,0,0,1,3,0,0,3,0,0,0,0,4,0,0,4
1947,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1948,1,1,0,2,0,1,0,1,0,0,0,0,1,2,0,3
1949,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1950,0,0,0,0,1,0,0,1,1,0,0,1,2,0,0,2
1951,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,2
1952,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2
1953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955,1,0,0,1,2,0,0,2,0,0,0,0,3,0,0,3
1956,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1957,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,2
1958,2,0,0,2,2,0,0,2,0,0,0,0,4,0,0,4
1959,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
1960,2,0,0,2,0,1,0,1,0,0,0,0,2,1,0,3
1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,0,0,1,1,0,0,1,1,0,0,1,3,0,0,3
1963,2,1,0,3,0,0,0,0,0,1,0,1,2,2,0,4
1964,0,0,0,0,2,1,0,3,1,0,0,1,3,1,0,4
1965,0,0,0,0,1,0,0,1,2,1,0,3,3,1,0,4
1966,0,0,0,0,4,0,0,4,1,0,0,1,5,0,0,5
1967,3,0,0,3,0,0,0,0,1,0,0,1,4,0,0,4
1968,1,0,0,1,2,0,0,2,1,0,0,1,4,0,0,4
1969,2,0,0,2,1,0,0,1,1,0,0,1,4,0,0,4
1970,1,0,0,1,1,1,0,2,0,0,0,0,2,1,0,3
1971,1,1,0,2,1,0,0,1,0,1,0,1,2,2,0,4
1972,0,1,0,1,1,0,0,1,1,0,0,1,2,1,0,3
1973,1,0,0,1,2,0,0,2,1,0,0,1,4,0,0,4
1974,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
1975,0,1,0,1,3,0,0,3,0,0,0,0,3,1,0,4
1976,1,1,0,2,3,0,0,3,1,0,0,1,5,1,0,6
1977,1,0,0,1,2,0,0,2,0,0,0,0,3,0,0,3
1978,1,0,0,1,2,0,0,2,0,0,0,0,3,0,0,3
1979,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
1980,1,0,0,1,0,0,0,0,2,0,0,2,3,0,0,3
1981,0,1,0,1,2,0,0,2,1,0,0,1,3,1,0,4
1982,2,0,0,2,0,1,0,1,0,0,0,0,2,1,0,3
1983,2,0,0,2,1,0,0,1,0,0,0,0,3,0,0,3
1984,1,0,0,1,2,0,0,2,0,0,0,0,3,0,0,3
1985,2,0,0,2,1,0,0,1,1,0,0,1,4,0,0,4
1986,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
1987,2,0,0,2,1,0,0,1,0,0,0,0,3,0,0,3
1988,1,0,0,1,2,0,0,2,0,0,0,0,3,0,0,3
1989,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
1990,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
1991,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
1992,0,1,0,1,3,0,0,3,0,0,0,0,3,1,0,4
1993,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,2
1994,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,2
1995,0,1,0,1,2,0,0,2,0,0,0,0,2,1,0,3
1996,0,1,0,1,2,0,0,2,0,0,0,0,2,1,0,3
1997,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
1998,0,1,0,1,2,0,0,2,0,1,0,1,2,2,0,4
1999,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2
2000,1,0,0,1,1,0,0,1,1,0,0,1,3,0,0,3
2001,1,1,0,2,0,0,0,0,0,0,0,0,1,1,0,2
2002,0,0,0,0,2,0,0,2,1,0,0,1,3,0,0,3
2003,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,2
2004,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
2005,0,0,0,0,1,0,0,1,1,0,0,1,2,0,0,2
2006,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
2007,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
2008,1,0,0,1,1,0,1,2,0,0,0,0,2,0,1,3
2009,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,2
2010,1,0,0,1,1,0,0,1,0,0,0,0,2,0,0,2
2011,0,1,0,1,0,0,0,0,0,1,0,1,0,2,0,2
2012,1,1,0,2,0,0,0,0,0,0,0,0,1,1,0,2
2013,1,0,0,1,2,0,0,2,1,0,0,1,4,0,0,4
2014,1,1,0,2,0,0,0,0,0,0,0,0,1,1,0,2
2015,0,1,0,1,0,1,0,1,0,0,0,0,0,2,0,2
2016,1,0,0,1,1,0,0,1,1,0,0,1,3,0,0,3
2017,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
2018,1,1,0,2,1,0,0,1,1,0,0,0,3,1,0,4
2019,0,2,0,2,1,0,0,1,0,1,0,1,1,3,0,4
2020,0,0,0,0,1,1,0,2,1,0,0,1,2,1,0,3
2021,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
