YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,March-May,June-Sept,Oct-Dec
1951,0,0,0,0,0,3,2,3,0,1,1,0,10,0,0,8,2
1952,0,0,0,0,1,1,2,2,0,4,0,2,12,0,1,5,6
1953,1,0,0,0,0,1,0,1,1,1,2,0,7,1,0,3,3
1954,0,0,0,1,0,1,2,1,2,2,0,1,10,0,1,6,3
1955,0,0,0,0,1,2,0,1,1,2,0,0,7,0,1,4,2
1956,0,1,0,0,0,2,1,3,1,1,1,0,10,1,0,7,2
1957,0,0,0,1,0,0,0,0,2,1,0,0,4,0,1,2,1
1958,0,0,0,0,1,0,2,1,2,1,0,0,7,0,1,5,1
1959,0,0,0,0,0,1,3,1,0,1,1,1,8,0,0,5,3
1960,0,0,0,0,0,1,1,3,1,0,4,0,10,0,0,6,4
1961,1,1,0,0,0,2,1,1,3,1,0,0,10,2,0,7,1
1962,0,0,0,1,1,1,2,0,2,1,0,0,8,0,2,5,1
1963,1,0,0,0,0,2,1,1,2,2,1,1,11,1,0,6,4
1964,0,0,0,0,0,0,1,3,2,2,0,0,8,0,0,6,2
1965,0,0,0,0,0,0,2,2,1,2,0,0,7,0,0,5,2
1966,0,0,0,0,1,3,2,0,1,2,0,1,10,0,1,6,3
1967,0,0,0,0,0,1,2,1,2,1,1,0,8,0,0,6,2
1968,0,0,0,0,0,1,1,3,0,0,0,0,5,0,0,5,0
1969,0,0,0,0,0,2,1,1,2,0,0,1,7,0,0,6,1
1970,0,0,0,0,1,1,1,1,2,1,1,0,8,0,1,5,2
1971,0,0,0,0,0,2,2,1,1,1,0,0,7,0,0,6,1
1972,0,0,0,0,0,2,3,1,0,1,2,2,11,0,0,6,5
1973,0,0,0,0,1,0,3,1,0,1,0,2,8,0,1,4,3
1974,0,0,0,0,0,1,0,1,0,3,0,0,5,0,0,2,3
1975,1,0,0,0,1,3,0,2,1,3,0,0,11,1,1,6,3
1976,0,0,0,0,0,0,0,2,0,1,1,0,4,0,0,2,2
1977,0,0,0,0,0,0,2,3,2,1,3,0,11,0,0,7,4
1978,0,0,0,0,0,1,2,1,1,1,0,0,6,0,0,5,1
1979,0,0,0,0,0,2,1,1,0,1,1,0,6,0,0,4,2
1980,0,0,0,0,1,1,0,1,1,2,1,0,7,0,1,3,3
1981,0,0,0,0,0,1,0,1,1,1,0,0,4,0,0,3,1
1982,0,0,0,0,0,0,2,2,2,1,3,1,11,0,0,6,5
1983,0,0,0,0,0,2,0,0,0,0,0,1,3,0,0,2,1
1984,0,0,0,0,0,1,1,0,0,0,0,1,3,0,0,2,1
1985,0,0,0,0,0,0,0,0,0,2,1,0,3,0,0,0,3
1986,1,0,0,0,0,0,0,2,1,0,1,0,5,1,0,3,1
1987,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
1988,0,0,0,0,0,2,1,0,0,1,0,1,5,0,0,3,2
1989,0,0,0,0,0,3,0,0,0,1,2,0,6,0,0,3,3
1990,0,0,0,0,0,1,0,0,0,2,2,0,5,0,0,1,4
1991,0,0,0,0,0,0,1,1,1,2,0,0,5,0,0,3,2
1992,0,0,0,0,0,1,1,0,0,2,0,1,5,0,0,2,3
1993,0,0,0,0,0,1,0,0,0,0,1,1,3,0,0,1,2
1994,0,0,1,0,0,0,0,1,0,1,1,0,4,0,1,1,2
1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,0,0,0,0,1,0,0,0,0,1,0,0,2,0,1,0,1
1997,0,0,0,0,0,1,1,3,0,0,1,0,6,0,0,5,1
1998,0,0,0,0,1,1,0,0,1,3,0,0,6,0,1,2,3
1999,0,0,0,0,0,1,1,1,0,0,0,1,4,0,0,3,1
2000,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,1,1
2001,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,1,1
2002,0,0,0,0,2,0,0,0,0,1,0,1,4,0,2,0,2
2003,0,0,0,0,0,0,2,1,0,2,0,0,5,0,0,3,2
2004,0,0,0,0,0,2,0,0,0,1,1,0,4,0,0,2,2
2005,0,0,0,0,0,1,1,0,2,1,1,1,7,0,0,4,3
2006,1,0,0,0,0,0,1,4,2,0,0,0,8,1,0,7,0
2007,0,0,0,0,1,2,1,1,1,2,0,0,8,0,1,5,2
2008,0,0,0,0,0,2,0,1,1,1,0,1,6,0,0,4,2
2009,0,0,0,0,0,2,1,0,1,0,0,0,4,0,0,4,0
2010,0,0,0,0,0,0,0,0,0,2,0,1,3,0,0,0,3
2011,0,1,0,0,0,2,0,0,1,1,2,0,7,1,0,3,3
2012,0,0,0,0,0,0,0,0,0,1,1,1,3,0,0,0,3
