YEAR,JUN,JUL,AUG,SEPT,JUN-SEPT
1901,99.9,287.4,338.2,109.4,834.9
1902,63.2,332.4,228.2,211.9,835.7
1903,94.7,379.7,281.2,207.3,962.9
1904,184.3,265.9,212.8,157.5,820.6
1905,57.9,347,173.6,204.4,782.9
1906,215.4,352.6,231.9,204.1,1004
1907,148.2,261.7,405.6,76.2,891.7
1908,142.6,406.2,387.3,132.6,1068.7
1909,211.1,377.5,202.2,163,953.8
1910,241.5,251.6,322.5,225.4,1040.9
1911,215,161.9,273.2,174.5,824.7
1912,88.4,420.8,306.5,114.1,929.8
1913,246.5,354.2,229,103.1,932.8
1914,203.2,408.9,244.7,237.5,1094.4
1915,167.4,258.5,235.5,184.3,845.7
1916,240.8,265,361,213.8,1080.6
1917,233.3,306.7,343.1,286.7,1169.8
1918,201.8,157,250.9,85.1,694.8
1919,227.1,337.6,423.4,125.6,1113.7
1920,144.9,346.1,190.2,94.6,775.8
1921,185.6,315.1,256.8,242.5,1000
1922,181.2,353.5,182.1,244.2,961
1923,46.2,401.2,313.7,182.4,943.5
1924,77.3,308.5,282.5,214.1,882.4
1925,244.9,328.5,247.9,105.6,926.8
1926,52.1,322.6,455.7,283.3,1113.7
1927,177.4,448.6,266.1,129.5,1021.6
1928,157.8,376.7,222.3,152.6,909.5
1929,158.7,378.8,254.7,129.3,921.5
1930,176.1,372.7,203.3,194.1,946.3
1931,85.7,336.6,408.9,192,1023.2
1932,99.3,487.8,198.6,212,997.6
1933,220,327.5,357.6,275.9,1180.9
1934,214.1,306.2,376,243.1,1139.5
1935,132.9,447.4,196,202.3,978.6
1936,293.6,264.8,259.3,202.9,1020.6
1937,199.3,454.7,192.4,221.4,1067.7
1938,288.8,336.9,251.9,156.1,1033.7
1939,133.4,337.1,338.6,135.2,944.4
1940,205.2,400.5,330.9,94.6,1031.2
1941,144,313.4,220.6,119.2,797.1
1942,174.9,475,333.4,176.8,1160.2
1943,168,397.6,217.3,233.5,1016.4
1944,114.8,521.8,381.3,141.5,1159.4
1945,181.7,406.2,268.6,260.7,1117.2
1946,257.4,347.4,379.2,142.8,1126.8
1947,98.7,350.2,369.4,239.6,1058
1948,161.6,311.1,290.3,210,973.1
1949,130.8,326.8,256,298.4,1012
1950,94.9,444.7,215,202.8,957.4
1951,140.7,295.7,271.7,112.7,820.7
1952,157.9,362.7,257.3,130.9,908.9
1953,150.9,320.5,403.1,156,1030.4
1954,128.7,332.9,256.9,354.3,1072.7
1955,202.9,209.6,387.8,276.9,1077.2
1956,206,468.2,310.3,186.7,1171.3
1957,134.4,321.1,331.6,106.9,894
1958,120.6,402.1,323.6,253.1,1099.4
1959,155.4,452.5,325.2,298.9,1232
1960,181.9,323.2,311.9,131.4,948.4
1961,202.7,426.7,314.4,350.7,1294.6
1962,86.7,339,247.4,242,915.2
1963,151.7,288.8,373.8,187.2,1001.4
1964,164.4,325.9,368.2,187.5,1045.9
1965,95.2,343.8,185.4,132.2,756.7
1966,161.6,316.4,173.5,141.9,793.4
1967,172,377.2,289.9,184.2,1023.3
1968,110.8,325.3,260,153.1,849.2
1969,113.9,404.8,273.3,215.1,1007.1
1970,255.4,282.1,414.2,230.1,1182
1971,255.4,299.9,281.7,156.1,993.2
1972,119.2,225.8,300.6,121.8,767.4
1973,97.8,405.9,371.9,228.1,1103.7
1974,93,247.1,284.3,106,730.4
1975,192,300.6,385.8,257.7,1136.2
1976,163.2,386.9,346,151.4,1047.5
1977,211.8,354.5,293.8,173.9,1034.1
1978,210.6,310.6,371.4,120.9,1013.5
1979,166.6,210.2,322.5,124.8,824.1
1980,296.6,293.4,321.9,153.2,1065
1981,153.2,313.5,306.8,212.9,986.4
1982,113,251,360,112.9,836.9
1983,151.4,311.7,374.2,296.5,1133.7
1984,159.4,267.2,367.8,104.1,898.5
1985,137.8,288.3,282.1,138.6,846.7
1986,231.9,293.2,248.3,77.8,851.3
1987,107,236.9,263.9,118.3,726.1
1988,168.8,410,274.8,217.1,1070.6
1989,220.3,280.2,308.5,136.9,945.9
1990,222.4,275.4,398.3,216.4,1112.5
1991,157.8,384.5,286.1,71.4,899.8
1992,127.2,297.3,362.3,164.5,951.4
1993,154.6,352.1,224.9,250.6,982.3
1994,269.7,459.5,366.1,213.5,1308.9
1995,91.8,363.8,231.1,157,843.6
1996,135.3,334.6,293.3,141.1,904.4
1997,176.6,320.5,338.1,155.7,990.9
1998,147.6,296.5,239.1,258.8,942
1999,201.1,273.7,228.7,255.7,959.2
2000,168.7,331.8,207.8,82.8,791.1
2001,259,370.6,270.6,74.2,974.4
2002,214.9,98,331.5,139,783.5
2003,167.4,382.7,320.9,234.1,1105
2004,177.2,248.1,362.1,112.9,900.3
2005,197.4,412.2,221.3,261.8,1092.7
2006,131.2,411.4,453.2,181.2,1176.9
2007,214,317.9,322.1,233.2,1087.2
2008,210.7,251.2,282.6,233,977.5
2009,68.3,407.9,195.2,134.2,805.6
2010,121.9,379.9,333.4,217.7,1052.9
2011,188.4,299.9,354.7,249.2,1092.2
2012,100.7,320.1,304.6,220.3,945.6
2013,273.7,424.2,296.5,184.8,1179.2
2014,63.7,362.7,255.1,204.2,885.8
2015,206.4,270.3,208.7,141.7,827
2016,137.4,382.7,320.2,194.9,1035.2
2017,173.9,359.2,229.8,156.6,919.6
2018,160,353.4,275.4,125.3,914.1
2019,117.2,351,427.7,367.6,1263.4
