YEAR,JUN,JUL,AUG,SEP,JUN-SEP
1901,155.8,197.6,147.4,138.1,638.9
1902,117.6,212,165.1,196.3,691
1903,140,300.3,212.7,211.4,864.3
1904,192.3,188.2,91.5,137.2,609.2
1905,155.9,121.2,193.2,105.8,576.2
1906,180,224.5,225.8,114.6,745
1907,187,206.7,221.6,126.5,741.8
1908,121.4,239.8,156,245.4,762.6
1909,149.7,219,201.3,140.4,710.3
1910,181.2,206.1,208.6,175.8,771.7
1911,186,189.8,102.1,108.6,586.5
1912,136.5,250.9,201.1,143.5,732
1913,130.7,224.7,96.8,134.7,587
1914,152.4,279.6,211.3,199.2,842.4
1915,190.6,196.8,144.4,194.9,726.7
1916,193.2,261.1,191.7,194.8,840.8
1917,203.1,161,202.9,251.9,818.8
1918,107,88.8,123.4,119.3,438.5
1919,164.3,190.3,119.6,187.8,661.9
1920,152.8,182,116.4,135.7,586.9
1921,141.2,228.9,185.6,130.8,686.5
1922,143.2,222.9,128.5,110,604.6
1923,110.2,280.4,161.2,179.2,730.9
1924,152.7,301.2,172.4,208.2,834.5
1925,157.8,208.7,194.7,101.9,663
1926,112.3,223.6,191.8,159.3,687.1
1927,181.6,238.7,143.7,171.5,735.6
1928,154.3,189.7,176.2,143.6,663.8
1929,210.4,155.1,118.8,175.7,660
1930,180.4,123.6,108.3,175.3,587.5
1931,150.2,219.7,216.3,170.6,756.8
1932,100,222.9,192,137.2,652.1
1933,192.2,221.7,204.7,189,807.6
1934,178.4,203.1,162.3,82.5,626.3
1935,135.1,205.8,190.9,145.1,676.9
1936,181.2,197.7,140.6,150.9,670.4
1937,115.1,244.9,113.5,127.9,601.4
1938,187.6,206.8,217.4,204.2,816.1
1939,131,170.6,171,123.7,596.3
1940,161.9,218.3,220.7,110.8,711.7
1941,161.4,132,143.5,171.5,608.3
1942,184.5,208.5,183.8,94,670.8
1943,161.7,200.1,98.9,186.7,647.4
1944,139.6,225.6,113.7,145.5,624.5
1945,116.6,250.7,160.1,111.3,638.7
1946,186.9,201.3,206.1,141.8,736.1
1947,129.8,246.7,252.4,192.5,821.4
1948,145.7,197.8,191.8,137.8,673.1
1949,149.6,242.3,183,197.6,772.5
1950,125.2,245,149.2,198.8,718.1
1951,162.7,240.9,118.2,147.4,669.2
1952,125.4,165,145.4,80.5,516.3
1953,158.2,280.7,175.3,165.1,779.4
1954,161.6,279,197.7,141.7,780
1955,179.8,159.1,219.7,198.7,757.3
1956,206.8,277.1,149.2,158.8,792
1957,198,214.5,198.6,91.6,702.7
1958,143.6,261.1,247.2,122.3,774.2
1959,221.6,321.5,191.6,180.9,915.7
1960,150.4,222.6,96.8,229.2,699
1961,205.5,344.6,206.3,144,900.5
1962,93.3,243.6,229.7,204.7,771.2
1963,144.1,186.9,241.9,111.9,684.9
1964,124.1,249.7,218.5,250.8,843.2
1965,137.4,216,175.9,139.1,668.5
1966,109.3,234.4,141.7,185.7,671.1
1967,144.7,272.6,155.7,119.9,692.9
1968,139.4,260.5,89.5,196.8,686.2
1969,125.3,239,174,131.7,670
1970,156.5,196.3,255.2,150.8,758.7
1971,177.9,157,167.7,144.6,647.2
1972,146.5,176.9,90.1,146.8,560.4
1973,162.3,190.9,222.8,118.5,694.5
1974,102.8,217.4,159.7,214.9,694.8
1975,200.7,240.7,214.8,235.6,891.8
1976,91.8,245.7,209.4,97,644
1977,160.3,213.8,167.2,113.3,654.7
1978,197.5,258,223.2,165.2,843.9
1979,153.2,172.5,147.8,215.3,688.8
1980,212.7,213.6,200.2,118.6,745
1981,185.8,203.8,228.9,257.1,875.5
1982,150.3,200.2,183.5,130.2,664.2
1983,157.7,220.8,286.6,250.9,915.9
1984,161.4,258.5,102.4,142.4,664.7
1985,192.9,170.2,161.6,109.6,634.3
1986,162.9,140.8,217.3,131.1,652.1
1987,144,120.3,187.3,111.7,563.3
1988,112.8,305.8,253.6,236.3,908.5
1989,175.8,302.8,155.8,173.9,808.2
1990,159.9,161,230.4,117,668.3
1991,270.8,238.4,161.4,126.7,797.2
1992,182.9,199.1,204.1,140.2,726.4
1993,130.5,224.9,152.6,125.1,633.1
1994,163,277.5,176.6,91.9,708.9
1995,124.9,249.7,200.9,136.2,711.6
1996,213.8,195.5,206,189.4,804.7
1997,147.5,245.1,197.4,170.6,760.6
1998,166.2,230.5,215.1,220.4,832.2
1999,143.3,214.5,143,110.7,611.5
2000,194.9,169.7,289.3,134.9,788.8
2001,149.6,147,154.1,154.5,605.2
2002,137.2,89.6,171.7,69,467.5
2003,134.1,204.9,165.4,86.7,591.2
2004,144.5,174.8,139.9,143.6,602.8
2005,138,282.1,156.6,217.5,794.2
2006,155.1,176.4,183.6,190,705.2
2007,240.8,215.5,222.7,227,906
2008,135,174.8,242.1,147,699
2009,110.1,221.9,155.6,193.7,681.3
2010,160.4,272.8,227,172.5,832.7
2011,157.4,214.5,214,126.2,712.1
2012,110.2,180.5,207.2,146.1,644.1
2013,205.7,279.8,168.2,180.4,834.1
2014,97,204.8,229.3,136.8,667.9
2015,185.4,109.2,146.1,159.8,600.5
2016,198.2,191.2,110,161.8,661.2
2017,170.8,140.1,208.7,197,716.5
2018,182.5,200.2,221.3,96.9,700.8
2019,112.1,192.8,293.9,239.4,838.2
