Year,JF,MAM,JJAS,OND,Annual
1891,0,0,2,1,3
1892,0,0,2,0,2
1893,0,0,1,0,1
1894,0,0,3,0,3
1895,0,0,0,0,0
1896,0,0,0,0,0
1897,0,0,2,0,2
1898,0,0,3,0,3
1899,0,0,0,0,0
1900,0,0,0,0,0
1901,0,0,0,0,0
1902,0,0,0,0,0
1903,0,0,1,0,1
1904,0,0,1,0,1
1905,0,0,1,0,1
1906,0,0,1,0,1
1907,0,0,2,0,2
1908,0,0,0,0,0
1909,0,0,0,0,0
1910,0,0,0,0,0
1911,0,0,0,1,1
1912,0,0,1,1,2
1913,0,0,1,0,1
1914,0,0,1,0,1
1915,0,0,0,0,0
1916,0,0,1,0,1
1917,0,0,1,0,1
1918,0,0,1,0,1
1919,0,0,0,0,0
1920,0,0,1,0,1
1921,0,0,1,0,1
1922,0,0,1,0,1
1923,0,0,3,0,3
1924,0,0,0,0,0
1925,0,0,2,0,2
1926,0,0,3,0,3
1927,0,0,0,0,0
1928,0,0,2,0,2
1929,0,0,1,0,1
1930,0,0,0,0,0
1931,0,0,0,0,0
1932,0,0,0,0,0
1933,0,0,2,0,2
1934,0,0,0,1,1
1935,0,0,1,0,1
1936,0,0,1,0,1
1937,0,0,1,1,2
1938,0,0,1,0,1
1939,0,0,4,0,4
1940,0,0,0,0,0
1941,0,0,2,0,2
1942,0,1,1,0,2
1943,0,0,1,0,1
1944,0,0,2,0,2
1945,0,0,1,0,1
1946,0,0,2,0,2
1947,0,0,0,0,0
1948,0,0,0,0,0
1949,0,0,0,0,0
1950,0,0,3,0,3
1951,0,0,1,0,1
1952,0,0,1,1,2
1953,0,0,1,0,1
1954,0,0,2,0,2
1955,0,0,0,0,0
1956,0,0,0,0,0
1957,0,0,0,0,0
1958,0,0,0,0,0
1959,0,0,2,0,2
1960,0,0,0,0,0
1961,0,0,2,1,3
1962,0,0,1,0,1
1963,0,0,0,0,0
1964,0,0,1,0,1
1965,0,0,1,0,1
1966,0,0,0,0,0
1967,0,0,1,0,1
1968,0,0,1,0,1
1969,0,0,1,0,1
1970,0,0,1,0,1
1971,0,0,2,0,2
1972,0,0,2,0,2
1973,0,0,2,0,2
1974,0,0,0,0,0
1975,0,0,2,0,2
1976,0,0,2,0,2
1977,0,0,2,0,2
1978,0,0,3,0,3
1979,0,0,0,0,0
1980,0,0,4,0,4
1981,0,0,1,0,1
1982,0,0,3,0,3
1983,0,0,2,1,3
1984,0,0,0,0,0
1985,0,0,2,0,2
1986,0,0,2,0,2
1987,0,0,3,0,3
1988,0,0,0,0,0
1989,0,0,0,0,0
1990,0,1,1,0,2
1991,0,0,0,0,0
1992,0,0,0,0,0
1993,0,0,0,0,0
1994,0,0,0,0,0
1995,0,0,0,0,0
1996,0,0,1,0,1
1997,0,0,0,0,0
1998,0,0,1,0,1
1999,0,0,1,0,1
2000,0,0,1,0,1
2001,0,0,0,0,0
2002,0,0,0,0,0
2003,0,0,0,0,0
2004,0,0,1,1,2
2005,0,0,1,0,1
2006,0,0,1,0,1
2007,0,0,0,0,0
2008,0,0,0,1,1
2009,0,0,0,0,0
2010,0,0,0,0,0
2011,0,0,1,0,1
2012,0,0,0,0,0
2013,0,0,1,0,1
2014,0,0,2,0,2
2015,0,0,4,0,4
Total ,0,2,125,10,137
